사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2020-04,1호선,0150,서울역,"775,859","748,330","139,595","130,554",2020-05-03 10:27:24
2020-04,1호선,0151,시청,"381,606","384,171","52,670","50,782",2020-05-03 10:27:24
2020-04,1호선,0152,종각,"706,082","687,093","96,784","90,826",2020-05-03 10:27:24
2020-04,1호선,0153,종로3가,"388,837","368,220","231,829","220,625",2020-05-03 10:27:24
2020-04,1호선,0154,종로5가,"315,667","325,844","200,562","192,744",2020-05-03 10:27:24
2020-04,1호선,0155,동대문,"187,667","190,186","97,137","99,317",2020-05-03 10:27:24
2020-04,1호선,0156,신설동,"240,865","239,399","90,729","86,446",2020-05-03 10:27:24
2020-04,1호선,0157,제기동,"199,566","194,428","215,954","231,300",2020-05-03 10:27:24
2020-04,1호선,0158,청량리(서울시립대입구),"283,166","276,754","222,227","225,805",2020-05-03 10:27:24
2020-04,1호선,0159,동묘앞,"109,891","122,030","124,654","125,843",2020-05-03 10:27:24
2020-04,2호선,0201,시청,"450,214","454,725","37,129","33,425",2020-05-03 10:27:24
2020-04,2호선,0202,을지로입구,"763,783","793,953","67,368","62,748",2020-05-03 10:27:24
2020-04,2호선,0203,을지로3가,"399,344","403,589","51,720","50,877",2020-05-03 10:27:24
2020-04,2호선,0204,을지로4가,"211,060","213,345","71,136","69,277",2020-05-03 10:27:24
2020-04,2호선,0205,동대문역사문화공원(DDP),"233,818","263,288","38,972","40,804",2020-05-03 10:27:24
2020-04,2호선,0206,신당,"253,639","257,741","73,487","75,546",2020-05-03 10:27:24
2020-04,2호선,0207,상왕십리,"267,559","252,850","45,823","45,725",2020-05-03 10:27:24
2020-04,2호선,0208,왕십리(성동구청),"340,696","286,893","38,480","32,973",2020-05-03 10:27:24
2020-04,2호선,0209,한양대,"144,015","157,874","9,776","10,205",2020-05-03 10:27:24
2020-04,2호선,0210,뚝섬,"424,352","455,448","43,290","43,808",2020-05-03 10:27:24
2020-04,2호선,0211,성수,"655,184","729,838","78,169","79,922",2020-05-03 10:27:24
2020-04,2호선,0212,건대입구,"800,408","872,176","65,268","67,494",2020-05-03 10:27:24
2020-04,2호선,0213,구의(광진구청),"485,187","465,247","75,413","76,990",2020-05-03 10:27:24
2020-04,2호선,0214,강변(동서울터미널),"676,082","673,317","83,345","81,844",2020-05-03 10:27:24
2020-04,2호선,0215,잠실나루,"254,613","244,434","53,516","53,616",2020-05-03 10:27:24
2020-04,2호선,0216,잠실(송파구청),"1,422,389","1,379,692","115,451","110,121",2020-05-03 10:27:24
2020-04,2호선,0217,잠실새내,"408,366","419,412","68,086","68,252",2020-05-03 10:27:24
2020-04,2호선,0218,종합운동장,"124,211","134,927","21,348","22,361",2020-05-03 10:27:24
2020-04,2호선,0219,삼성(무역센터),"992,254","1,023,566","75,529","68,921",2020-05-03 10:27:24
2020-04,2호선,0220,선릉,"1,064,925","954,337","168,651","149,755",2020-05-03 10:27:24
2020-04,2호선,0221,역삼,"935,717","1,047,340","115,249","116,340",2020-05-03 10:27:24
2020-04,2호선,0222,강남,"1,893,747","1,931,393","126,471","111,384",2020-05-03 10:27:24
2020-04,2호선,0223,교대(법원.검찰청),"642,711","721,182","100,251","111,532",2020-05-03 10:27:24
2020-04,2호선,0224,서초,"402,574","394,789","48,312","48,508",2020-05-03 10:27:24
2020-04,2호선,0225,방배,"321,319","332,706","49,110","47,874",2020-05-03 10:27:24
2020-04,2호선,0226,사당,"755,816","847,268","121,440","117,937",2020-05-03 10:27:24
2020-04,2호선,0227,낙성대(강감찬),"576,448","542,225","75,428","77,118",2020-05-03 10:27:24
2020-04,2호선,0228,서울대입구(관악구청),"1,000,840","977,588","138,261","132,834",2020-05-03 10:27:24
2020-04,2호선,0229,봉천,"469,912","421,275","105,383","106,512",2020-05-03 10:27:24
2020-04,2호선,0230,신림,"1,403,874","1,336,112","159,581","160,381",2020-05-03 10:27:24
2020-04,2호선,0231,신대방,"549,084","517,895","88,920","90,300",2020-05-03 10:27:24
2020-04,2호선,0232,구로디지털단지,"1,265,934","1,261,170","117,762","119,152",2020-05-03 10:27:24
2020-04,2호선,0233,대림(구로구청),"505,128","510,823","80,723","84,444",2020-05-03 10:27:24
2020-04,2호선,0234,신도림,"1,021,928","1,010,838","128,620","121,940",2020-05-03 10:27:24
2020-04,2호선,0235,문래,"407,341","420,002","53,436","52,915",2020-05-03 10:27:24
2020-04,2호선,0236,영등포구청,"437,783","447,232","71,551","71,102",2020-05-03 10:27:24
2020-04,2호선,0237,당산,"415,631","475,721","44,772","48,562",2020-05-03 10:27:24
2020-04,2호선,0238,합정,"680,012","732,794","48,502","48,049",2020-05-03 10:27:24
2020-04,2호선,0239,홍대입구,"1,215,864","1,316,632","68,810","65,931",2020-05-03 10:27:24
2020-04,2호선,0240,신촌,"711,282","744,171","85,425","81,895",2020-05-03 10:27:24
2020-04,2호선,0241,이대,"228,601","236,202","29,125","30,379",2020-05-03 10:27:24
2020-04,2호선,0242,아현,"172,781","163,201","44,133","43,693",2020-05-03 10:27:24
2020-04,2호선,0243,충정로(경기대입구),"187,017","198,082","34,383","34,483",2020-05-03 10:27:24
2020-04,2호선,0244,용답,"45,615","44,333","14,050","13,217",2020-05-03 10:27:24
2020-04,2호선,0245,신답,"28,550","31,598","7,648","8,010",2020-05-03 10:27:24
2020-04,2호선,0246,신설동,"56,392","53,554","24,794","26,568",2020-05-03 10:27:24
2020-04,2호선,0247,도림천,"22,292","23,414","4,863","5,127",2020-05-03 10:27:24
2020-04,2호선,0248,양천구청,"117,100","121,997","30,390","31,013",2020-05-03 10:27:24
2020-04,2호선,0249,신정네거리,"167,234","172,312","47,696","49,447",2020-05-03 10:27:24
2020-04,2호선,0250,용두(동대문구청),"34,801","35,832","18,029","19,415",2020-05-03 10:27:24
2020-04,3호선,0309,지축,"64,562","61,178","12,107","13,266",2020-05-03 10:27:24
2020-04,3호선,0310,구파발,"399,966","376,694","80,024","76,296",2020-05-03 10:27:24
2020-04,3호선,0311,연신내,"730,185","682,874","193,010","187,551",2020-05-03 10:27:24
2020-04,3호선,0312,불광,"289,155","315,065","97,399","108,406",2020-05-03 10:27:24
2020-04,3호선,0313,녹번,"260,200","224,354","49,200","48,788",2020-05-03 10:27:24
2020-04,3호선,0314,홍제,"306,109","284,375","103,067","101,725",2020-05-03 10:27:24
2020-04,3호선,0315,무악재,"67,521","66,344","20,597","22,331",2020-05-03 10:27:24
2020-04,3호선,0316,독립문,"111,435","121,299","52,199","51,809",2020-05-03 10:27:24
2020-04,3호선,0317,경복궁(정부서울청사),"346,535","352,705","50,945","47,819",2020-05-03 10:27:24
2020-04,3호선,0318,안국,"355,403","380,286","44,665","46,550",2020-05-03 10:27:24
2020-04,3호선,0319,종로3가,"180,754","220,747","40,996","44,914",2020-05-03 10:27:24
2020-04,3호선,0320,을지로3가,"186,076","203,446","38,393","37,366",2020-05-03 10:27:24
2020-04,3호선,0321,충무로,15,0,1,0,2020-05-03 10:27:24
2020-04,3호선,0322,동대입구,"143,973","159,132","23,085","26,434",2020-05-03 10:27:24
2020-04,3호선,0323,약수,"239,480","234,528","56,815","54,451",2020-05-03 10:27:24
2020-04,3호선,0324,금호,"151,083","138,346","38,392","37,865",2020-05-03 10:27:24
2020-04,3호선,0325,옥수,"169,584","173,782","39,502","39,810",2020-05-03 10:27:24
2020-04,3호선,0326,압구정,"598,084","654,235","83,764","81,178",2020-05-03 10:27:24
2020-04,3호선,0327,신사,"627,699","677,263","51,382","49,090",2020-05-03 10:27:24
2020-04,3호선,0328,잠원,"103,325","100,430","23,794","23,040",2020-05-03 10:27:24
2020-04,3호선,0329,고속터미널,"842,839","845,237","99,667","96,512",2020-05-03 10:27:24
2020-04,3호선,0330,교대(법원.검찰청),"257,763","175,348","43,856","27,122",2020-05-03 10:27:24
2020-04,3호선,0331,남부터미널(예술의전당),"568,513","586,701","74,290","74,923",2020-05-03 10:27:24
2020-04,3호선,0332,양재(서초구청),"727,613","789,736","92,836","94,080",2020-05-03 10:27:24
2020-04,3호선,0333,매봉,"206,666","200,274","36,475","33,338",2020-05-03 10:27:24
2020-04,3호선,0334,도곡,"92,121","96,215","15,878","14,244",2020-05-03 10:27:24
2020-04,3호선,0335,대치,"192,218","185,505","37,575","35,556",2020-05-03 10:27:24
2020-04,3호선,0336,학여울,"28,265","28,971","8,891","8,562",2020-05-03 10:27:24
2020-04,3호선,0337,대청,"169,543","153,245","37,462","35,551",2020-05-03 10:27:24
2020-04,3호선,0338,일원,"153,106","150,346","38,232","37,996",2020-05-03 10:27:24
2020-04,3호선,0339,수서,"288,110","293,846","68,230","67,384",2020-05-03 10:27:24
2020-04,3호선,0340,가락시장,"151,513","148,756","52,206","50,803",2020-05-03 10:27:24
2020-04,3호선,0341,경찰병원,"136,998","135,772","27,892","28,472",2020-05-03 10:27:24
2020-04,3호선,0342,오금,"122,099","106,890","19,024","18,207",2020-05-03 10:27:24
2020-04,4호선,0409,당고개,"229,045","207,186","69,440","69,104",2020-05-03 10:27:24
2020-04,4호선,0410,상계,"370,211","331,032","86,309","84,324",2020-05-03 10:27:24
2020-04,4호선,0411,노원,"401,649","464,716","63,394","62,820",2020-05-03 10:27:24
2020-04,4호선,0412,창동,"477,028","506,857","138,919","144,528",2020-05-03 10:27:24
2020-04,4호선,0413,쌍문,"603,610","528,878","117,781","116,388",2020-05-03 10:27:24
2020-04,4호선,0414,수유(강북구청),"687,854","677,063","148,659","148,273",2020-05-03 10:27:24
2020-04,4호선,0415,미아(서울사이버대학),"274,876","256,558","86,123","87,301",2020-05-03 10:27:24
2020-04,4호선,0416,미아사거리,"539,045","519,062","134,809","132,948",2020-05-03 10:27:24
2020-04,4호선,0417,길음,"377,622","351,291","80,663","81,070",2020-05-03 10:27:24
2020-04,4호선,0418,성신여대입구(돈암),"407,398","386,591","61,748","59,934",2020-05-03 10:27:24
2020-04,4호선,0419,한성대입구(삼선교),"253,817","250,796","51,413","51,057",2020-05-03 10:27:24
2020-04,4호선,0420,혜화,"584,572","603,325","86,574","84,543",2020-05-03 10:27:24
2020-04,4호선,0421,동대문,"359,326","377,624","122,010","114,634",2020-05-03 10:27:24
2020-04,4호선,0422,동대문역사문화공원(DDP),"309,277","293,345","40,325","36,259",2020-05-03 10:27:24
