사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
43922,1호선,150,서울역,709,10,7671,5504,9614,32950,28851,75365,47613,157457,32798,107109,29999,45097,36623,37669,41863,40532,43791,40558,38915,38680,50320,39895,58245,41341,102801,50432,161131,54537,79024,39207,52802,26306,48241,20343,32771,15287,11655,9312,17,1293,0,0,0,0,0,0
43922,1호선,151,시청,22,0,1547,2870,2816,14613,5268,54372,6273,128225,6627,67002,7462,25275,10616,21623,11580,18295,14583,18852,19016,16103,24420,13721,28552,11997,55595,11636,107173,12493,45940,6746,31449,3965,29653,3211,19611,2266,6059,1560,14,128,0,0,0,0,0,0
43922,1호선,152,종각,91,2,2708,3827,2986,21068,4663,92328,7265,183735,8701,119816,11041,50248,18019,38008,21747,34010,29117,36739,34375,31777,43329,27187,51105,25955,105858,30182,171915,38309,81231,23016,63834,9555,71293,5973,53292,3698,20230,2302,66,184,0,0,0,0,0,0
43922,1호선,153,종로3가,204,22,3922,2148,3108,11447,4095,23183,6567,64060,9337,68862,17024,54621,26897,50603,33372,48157,41874,50464,43554,44762,48135,38311,52526,31627,62959,28962,88796,31801,54878,18440,38115,8014,40446,5355,32912,3923,11902,3291,43,792,0,0,0,0,0,0
43922,1호선,154,종로5가,28,0,1656,3255,2316,12999,3791,35572,6212,93370,9037,60301,14320,42532,21653,39810,26483,37916,31565,36226,38351,34817,42958,30976,47990,24786,63657,21548,90215,19195,46988,11299,27704,5466,21711,3875,15180,2559,4399,1844,15,242,0,0,0,0,0,0
43922,1호선,155,동대문,663,23,13056,1943,8337,6551,11152,11743,15679,23102,15143,21599,13445,18772,15370,19909,17361,19758,18816,19638,19334,19395,20255,18378,21628,16115,21855,16180,21312,16406,15468,18789,11796,12441,11198,9467,9084,8920,3825,9390,27,984,0,0,0,0,0,0
43922,1호선,156,신설동,296,13,8814,2094,7958,6866,14752,21288,19758,58559,15373,31994,12396,17486,14354,15480,14539,15148,16971,15399,18208,15471,19370,15770,23272,16184,33195,19032,53174,23165,21475,16723,13494,10583,12088,9611,8730,8379,3353,6018,24,582,0,0,0,0,0,0
43922,1호선,157,제기동,346,3,3963,1894,7025,8220,17646,16635,25094,36514,19010,33203,20503,32280,28456,37079,33210,34692,33945,36356,36287,38286,39199,33461,35755,26381,35352,21875,34519,22501,17914,16205,10213,9592,7939,8275,6797,7388,2331,4473,16,415,0,0,0,0,0,0
43922,1호선,158,청량리(서울시립대입구),1376,11,10251,3703,12631,11768,33592,14155,41662,30441,28503,26906,25866,29898,29791,34707,32580,34034,34797,35370,36429,39251,38859,37757,39826,34893,39711,35702,37435,44789,22993,30972,16353,18094,11384,16136,8159,13878,3161,9024,34,1070,0,0,0,0,0,0
43922,1호선,159,동묘앞,98,0,3065,762,2821,4100,4839,8400,6242,18719,6186,14350,7332,16760,11135,22009,15748,25390,20161,27009,25668,28083,27872,23159,28214,16939,26095,12238,23285,9129,11012,5773,5583,3761,4558,3398,3424,3411,1194,2915,12,1568,1,0,0,0,0,0
43922,2호선,201,시청,51,0,963,1212,1739,11192,3991,63820,5740,173191,6163,85180,8848,21305,13171,16393,13262,15120,16531,17019,20675,15087,23777,13591,27407,11897,66575,12370,140025,12661,55003,6836,30813,3538,28079,2861,18576,2629,5927,2102,24,143,3,2,0,1,0,0
